date,moma,met
2021-02-07,1,7
2021-02-14,1,7
2021-02-21,1,7
2021-02-28,1,6
2021-03-07,1,6
2021-03-14,1,6
2021-03-21,1,6
2021-03-28,1,6
2021-04-04,1,7
2021-04-11,1,7
2021-04-18,1,8
2021-04-25,1,7
2021-05-02,1,8
2021-05-09,1,7
2021-05-16,1,6
2021-05-23,1,7
2021-05-30,1,6
2021-06-06,1,7
2021-06-13,1,6
2021-06-20,1,6
2021-06-27,1,6
2021-07-04,1,6
2021-07-11,1,6
2021-07-18,1,7
2021-07-25,1,6
2021-08-01,1,6
2021-08-08,1,7
2021-08-15,1,7
2021-08-22,1,8
2021-08-29,1,7
2021-09-05,1,9
2021-09-12,1,100
2021-09-19,1,18
2021-09-26,1,11
2021-10-03,1,8
2021-10-10,1,7
2021-10-17,1,7
2021-10-24,1,7
2021-10-31,1,8
2021-11-07,1,7
2021-11-14,1,7
2021-11-21,1,6
2021-11-28,1,7
2021-12-05,1,7
2021-12-12,1,7
2021-12-19,1,6
2021-12-26,1,7
2022-01-02,1,6
2022-01-09,1,9
2022-01-16,1,14
2022-01-23,1,10
2022-01-30,1,8
